📡  电信频道,#genre#
睛彩青少,http://14.19.151.48:8188/udp/239.77.1.22:5146
睛彩竞技,http://14.19.151.48:8188/udp/239.77.1.20:5146
睛彩篮球,http://14.19.151.48:8188/udp/239.77.1.22:5146
睛彩广场舞,http://14.19.151.48:8188/udp/239.77.1.23:5146
CCTV1,http:///udp/239.77.1.17:5146
CCTV1,http:///udp/239.77.1.144:5146
CCTV1,http:///udp/239.77.0.86:5146
CCTV1,http:///udp/239.77.0.129:5146
CCTV2,http:///udp/239.77.1.158:5146
CCTV2,http:///udp/239.253.43.17:5146
CCTV2,http:///udp/239.77.0.137:5146
CCTV3,http:///udp/239.77.0.169:5146
CCTV3,http:///udp/239.77.0.175:5146
CCTV4,http:///udp/239.77.1.163:5146
CCTV4,http:///udp/239.77.1.166:5146
CCTV4,http:///udp/239.77.0.78:5146
CCTV5,http:///udp/239.77.0.170:5146
CCTV5,http:///udp/239.77.0.177:5146
CCTV5+,http:///udp/239.77.0.87:5146
CCTV5+,http:///udp/239.77.1.31:5146
CCTV5+,http:///udp/239.77.1.147:5146
CCTV6,http:///udp/239.77.0.171:5146
CCTV6,http:///udp/239.77.0.178:5146
CCTV7,http:///udp/239.77.1.159:5146
CCTV7,http:///udp/239.77.1.167:5146
CCTV7,http:///udp/239.77.0.138:5146
CCTV8,http:///udp/239.77.0.172:5146
CCTV8,http:///udp/239.77.0.181:5146
CCTV9,http:///udp/239.77.1.160:5146
CCTV9,http:///udp/239.77.1.168:5146
CCTV9,http:///udp/239.77.0.135:5146
CCTV10,http:///udp/239.77.1.113:5146
CCTV10,http:///udp/239.77.1.169:5146
CCTV10,http:///udp/239.77.0.134:5146
CCTV11,http:///udp/239.77.1.238:5146
CCTV12,http:///udp/239.77.1.109:5146
CCTV12,http:///udp/239.77.1.170:5146
CCTV12,http:///udp/239.77.0.136:5146
CCTV13,http:///udp/239.77.0.188:5146
CCTV13,http:///udp/239.253.43.196:5146
CCTV14,http:///udp/239.77.1.161:5146
CCTV14,http:///udp/239.77.1.171:5146
CCTV14,http:///udp/239.77.0.133:5146
CCTV15,http:///udp/239.77.1.239:5146
CCTV16,http:///udp/239.77.0.165:5146
CCTV16,http:///udp/239.77.1.76:5146
CCTV16 4k,http:///udp/239.77.1.98:5146
CCTV17,http:///udp/239.77.1.121:5146
CCTV17,http:///udp/239.77.0.198:5146
CCTV-4K,http:///udp/239.77.0.194:5146
CCTV-4K,http:///udp/239.77.0.174:5146
CGTN英语,http:///udp/239.77.0.199:5146
CGTN西班牙语,http:///udp/239.77.0.221:5146
CGTN法语高,http:///udp/239.77.0.228:5146
CGTN阿拉伯语,http:///udp/239.253.43.200:5146
CGTN俄语,http:///udp/239.253.43.201:5146
广东卫视,http:///udp/239.77.1.19:5146
广东卫视,http:///udp/239.77.1.152:5146
广东卫视,http:///udp/239.77.0.84:5146
广东卫视,http:///udp/239.77.0.166:5146
广东珠江,http:///udp/239.77.0.1:5146
广东珠江,http:///udp/239.77.0.114:5146
广东新闻,http:///udp/239.77.0.173:5146
广东公共,http:///udp/239.77.0.225:5146
广东体育,http:///udp/239.77.0.112:5146
广东体育,http:///udp/239.77.0.168:5146
经济科教,http:///udp/239.77.0.85:5146
经济科教,http:///udp/239.77.0.167:5146
大湾区卫视,http:///udp/239.77.0.215:5146
大湾区卫视,http:///udp/239.77.0.9:5146
大湾区卫视,http:///udp/239.77.1.12:5146
广东影视,http:///udp/239.77.0.217:5146
广东少儿,http:///udp/239.77.0.250:5146
嘉佳卡通,http:///udp/239.77.0.179:5146
岭南戏曲,http:///udp/239.77.0.16:5146
现代教育,http:///udp/239.77.0.18:5146
广东移动,http:///udp/239.77.0.20:5146
广东综艺4K,http:///udp/239.77.1.237:5146
广州综合,http:///udp/239.253.43.71:5146
广州新闻,http:///udp/239.253.43.72:5146
广州影视,http:///udp/239.253.43.73:5146
广州法治,http:///udp/239.253.43.74:5146
南国都市4K,http:///udp/239.253.43.99:5146
深圳卫视,http:///udp/239.77.1.148:5146
深圳卫视,http:///udp/239.77.0.92:5146
深圳卫视,http:///udp/239.77.0.130:5146
深圳都市,http:///udp/239.77.1.176:5146
深圳都市,http:///udp/239.77.1.124:5146
深圳电视剧,http:///udp/239.77.1.177:5146
深圳电视剧,http:///udp/239.77.1.125:5146
深圳财经生活,http:///udp/239.77.1.242:5146
深圳娱乐,http:///udp/239.77.1.36:5146
深圳体育健康,http:///udp/239.77.1.128:5146
深圳体育健康,http:///udp/239.77.1.140:5146
深圳少儿,http:///udp/239.77.1.244:5146
深圳公共,http:///udp/239.77.1.178:5146
深圳公共,http:///udp/239.77.1.126:5146
深圳宝安,http:///udp/239.77.1.67:5146
深圳龙岗,http:///udp/239.77.1.223:5146
深圳众创,http:///udp/239.77.1.247:5146
深圳移动电视,http:///udp/239.77.1.175:5146
潮州综合,http:///udp/239.253.43.70:5146
潮州民生,http:///udp/239.253.43.75:5146
梅州综合,http:///udp/239.253.43.123:5146
梅州客家,http:///udp/239.253.43.124:5146
韶关新闻,http:///udp/239.77.0.117:5146
韶关生活,http:///udp/239.77.0.119:5146
湛江新闻,http:///udp/239.77.0.141:5146
湛江公共,http:///udp/239.77.0.140:5146
揭阳综合,http:///udp/239.77.0.229:5146
揭阳公共,http:///udp/239.77.0.251:5146
江门综合,http:///udp/239.77.0.201:5146
江门生活,http:///udp/239.77.0.202:5146
惠州综合,http:///udp/239.77.1.232:5146
惠州生活,http:///udp/239.77.1.233:5146
汕尾新闻,http:///udp/239.77.0.25:5146
汕尾文化,http:///udp/239.77.0.187:5146
珠海综合,http:///udp/239.77.0.155:5146
珠海生活,http:///udp/239.77.0.154:5146
肇庆综合,http:///udp/239.253.43.1:5146
肇庆生活,http:///udp/239.253.43.2:5146
河源综合,http:///udp/239.253.43.213:5146
河源公共,http:///udp/239.253.43.214:5146
汕头综合,http:///udp/239.77.1.130:5146
汕头综合,http:///udp/239.253.43.45:5146
汕头生活,http:///udp/239.77.1.131:5146
汕头生活,http:///udp/239.253.43.46:5146
汕头文体,http:///udp/239.77.1.132:5146
